trial,state,probe_idx,latency_ms
10,disk_evicted,3,71.087881
10,disk_evicted,4,66.3369
10,disk_evicted,5,80.12594
10,disk_evicted,6,75.30015
10,disk_evicted,7,74.00526
10,disk_evicted,8,104.864818
10,disk_evicted,9,77.374543
11,hot,0,28.918458
11,hot,1,29.502008
11,hot,2,28.401752
11,hot,3,28.26117
11,hot,4,28.432646
11,hot,5,28.242075
11,hot,6,24.33208
11,hot,7,24.726295
11,hot,8,23.575729
11,hot,9,23.563864
11,ram_evicted,0,28.938601
11,ram_evicted,1,28.454562
11,ram_evicted,2,28.046198
11,ram_evicted,3,28.335631
11,ram_evicted,4,26.012665
11,ram_evicted,5,23.589106
11,ram_evicted,6,23.788221
11,ram_evicted,7,23.626184
11,ram_evicted,8,23.625555
11,ram_evicted,9,24.93047
11,disk_evicted,0,64.106777
11,disk_evicted,1,69.139028
11,disk_evicted,2,116.517553
11,disk_evicted,3,68.293471
11,disk_evicted,4,74.434347
11,disk_evicted,5,72.591351
11,disk_evicted,6,83.524468
11,disk_evicted,7,84.203434
11,disk_evicted,8,87.73432
11,disk_evicted,9,90.764001
12,hot,0,31.428447
12,hot,1,31.398532
12,hot,2,32.275276
12,hot,3,28.263394
12,hot,4,24.21959
12,hot,5,24.544891
12,hot,6,26.259929
12,hot,7,25.697625
12,hot,8,24.680428
12,hot,9,21.487824
12,ram_evicted,0,34.342896
12,ram_evicted,1,33.859048
12,ram_evicted,2,35.163332
12,ram_evicted,3,34.764725
12,ram_evicted,4,34.680606
12,ram_evicted,5,25.073123
12,ram_evicted,6,36.335086
12,ram_evicted,7,33.033547
12,ram_evicted,8,31.801162
12,ram_evicted,9,34.503333
12,disk_evicted,0,78.639481
12,disk_evicted,1,79.419348
12,disk_evicted,2,83.810772
12,disk_evicted,3,83.735796
12,disk_evicted,4,88.210187
12,disk_evicted,5,91.778594
12,disk_evicted,6,88.617214
12,disk_evicted,7,92.051586
12,disk_evicted,8,96.702357
12,disk_evicted,9,98.321051
13,hot,0,39.434873
13,hot,1,39.046099
13,hot,2,31.774486
13,hot,3,25.938114
13,hot,4,29.371016
13,hot,5,26.308371
13,hot,6,25.04984
13,hot,7,25.840221
13,hot,8,26.613777
13,hot,9,22.780441
13,ram_evicted,0,37.309348
13,ram_evicted,1,38.725173
13,ram_evicted,2,31.648106
13,ram_evicted,3,34.370273
13,ram_evicted,4,26.29142
13,ram_evicted,5,36.38443
13,ram_evicted,6,35.098025
13,ram_evicted,7,35.557729
13,ram_evicted,8,33.718304
13,ram_evicted,9,24.298002
13,disk_evicted,0,77.909548
13,disk_evicted,1,83.618754
13,disk_evicted,2,90.974213
13,disk_evicted,3,90.965223
13,disk_evicted,4,82.742714
13,disk_evicted,5,90.524755
13,disk_evicted,6,96.738845
13,disk_evicted,7,97.073093
13,disk_evicted,8,99.442543
13,disk_evicted,9,94.825294
14,hot,0,31.531454
14,hot,1,30.984836
14,hot,2,32.962136
14,hot,3,31.696718
14,hot,4,32.227116
14,hot,5,31.495759
14,hot,6,24.893512
14,hot,7,24.761367
14,hot,8,25.258545
14,hot,9,23.834106
14,ram_evicted,0,39.892723
14,ram_evicted,1,33.997788
14,ram_evicted,2,38.264923
14,ram_evicted,3,35.466092
14,ram_evicted,4,34.296797
14,ram_evicted,5,29.247819
14,ram_evicted,6,30.62615
14,ram_evicted,7,26.08165
14,ram_evicted,8,29.895128
14,ram_evicted,9,33.737781
14,disk_evicted,0,87.273939
14,disk_evicted,1,81.576789
14,disk_evicted,2,84.914094
14,disk_evicted,3,83.294293
14,disk_evicted,4,83.116639
14,disk_evicted,5,82.622071
14,disk_evicted,6,88.651028
14,disk_evicted,7,91.713899
14,disk_evicted,8,95.844756
14,disk_evicted,9,97.021247
