trial,ground_truth,target_latency_ms,canary_latency_ms,diff_ms,rolling_baseline_ms,rolling_mad_ms,predicted_adaptive,correct_adaptive
93,idle,56.363863,55.826862,0.5370010000000036,0.5726380000000049,0.4670929999999913,idle,True
94,active,81.721722,81.249614,0.47210800000000575,0.5383089999999982,0.501421999999998,idle,False
95,idle,69.1048,68.610472,0.4943279999999959,0.5383089999999982,0.1781790000000001,idle,True
96,active,72.322125,71.892085,0.4300400000000053,0.5383089999999982,0.1781790000000001,idle,False
97,idle,66.233344,65.232727,1.0006170000000054,0.5370010000000036,0.17948699999999462,active,False
98,active,63.485671,62.39071,1.094961000000005,0.5726380000000049,0.14384999999999337,active,True
99,idle,65.668753,66.282205,-0.6134520000000094,0.6648379999999889,0.23479799999998363,idle,True
100,active,77.445856,76.590572,0.8552840000000117,0.5726380000000049,0.14384999999999337,active,True
101,idle,62.627813,62.102109,0.5257040000000046,0.5726380000000049,0.28264600000000684,idle,True
102,active,61.312449,61.572523,-0.2600739999999959,0.5370010000000036,0.3182830000000081,idle,False
103,idle,66.224351,65.600352,0.6239989999999977,0.5257040000000046,0.4749130000000008,idle,True
104,active,62.910358,62.364389,0.5459689999999995,0.5257040000000046,0.3295800000000071,idle,False
105,idle,66.859579,66.342346,0.5172329999999903,0.5257040000000046,0.14718399999999576,idle,True
106,active,67.845675,66.986144,0.859531000000004,0.5257040000000046,0.09829499999999314,active,True
107,idle,68.158433,67.71829,0.44014300000000617,0.5257040000000046,0.09829499999999314,idle,True
108,active,54.363972,52.282154,2.0818179999999984,0.5257040000000046,0.0956639999999993,active,True
109,idle,70.254849,70.471493,-0.21664400000000228,0.5257040000000046,0.09829499999999314,idle,True
110,active,71.244163,70.436423,0.8077399999999955,0.5257040000000046,0.3295800000000071,idle,False
111,idle,79.231209,79.884248,-0.6530389999999926,0.5459689999999995,0.3093150000000122,idle,True
112,active,70.135384,69.3964,0.7389840000000021,0.5459689999999995,0.31356200000000456,idle,False
113,idle,59.143991,58.089494,1.0544969999999978,0.5459689999999995,0.3093150000000122,active,False
114,active,61.176559,60.339324,0.8372349999999997,0.5459689999999995,0.3093150000000122,idle,False
115,idle,69.549628,69.330769,0.2188589999999948,0.6239989999999977,0.21323600000000198,idle,True
116,active,58.993346,58.165583,0.8277630000000045,0.5459689999999995,0.29126600000000025,idle,False
117,idle,80.879482,79.814053,1.0654289999999946,0.6239989999999977,0.21323600000000198,active,False
118,active,59.49965,59.761044,-0.2613939999999957,0.7389840000000021,0.2217510000000118,idle,False
119,idle,71.474272,71.028028,0.446243999999993,0.7389840000000021,0.2988409999999959,idle,True
120,active,68.686916,68.154533,0.5323829999999958,0.7389840000000021,0.2988409999999959,idle,False
121,idle,64.788696,64.469761,0.3189349999999962,0.7389840000000021,0.2988409999999959,idle,True
122,active,80.737738,79.851438,0.8862999999999914,0.5323829999999958,0.3048520000000039,idle,False
123,idle,74.332348,73.516209,0.8161389999999926,0.7389840000000021,0.3155129999999957,idle,True
124,active,59.77538,59.255038,0.5203419999999994,0.7389840000000021,0.2927400000000091,idle,False
125,idle,82.964707,83.174191,-0.20948399999998912,0.7389840000000021,0.21864200000000267,idle,True
126,active,57.502561,76.460146,-18.957584999999995,0.5323829999999958,0.3048520000000039,idle,False
127,idle,80.491582,79.993251,0.4983309999999932,0.5323829999999958,0.3048520000000039,idle,True
128,active,76.248539,74.641247,1.6072919999999868,0.5203419999999994,0.30742100000000505,active,True
129,idle,70.427439,71.001522,-0.5740829999999875,0.5203419999999994,0.30742100000000505,idle,True
130,active,82.540585,82.270376,0.27020899999999415,0.4983309999999932,0.32943200000001127,idle,False
131,idle,59.190569,58.010755,1.1798140000000004,0.4983309999999932,0.32943200000001127,active,False
132,active,58.314444,59.00999,-0.6955460000000002,0.4983309999999932,0.38796899999999823,idle,False
133,idle,67.318184,71.10408,-3.785895999999994,0.446243999999993,0.44005599999999845,idle,True
134,active,69.117755,68.694908,0.4228470000000044,0.446243999999993,0.44005599999999845,idle,False
135,idle,77.566134,76.762275,0.8038590000000028,0.4228470000000044,0.463452999999987,idle,True
136,active,66.857041,66.236918,0.6201229999999924,0.4228470000000044,0.463452999999987,idle,False
137,idle,64.147619,63.07102,1.0765990000000087,0.4983309999999932,0.38796899999999823,idle,True
138,active,54.137435,51.860388,2.277047000000003,0.4983309999999932,0.5782680000000155,active,True
139,idle,58.096871,57.578635,0.5182360000000017,0.4983309999999932,0.6814830000000072,idle,True
140,active,72.751723,72.179918,0.5718049999999977,0.4983309999999932,0.6814830000000072,idle,False
141,idle,62.667087,62.181692,0.485395000000004,0.5182360000000017,0.558363000000007,idle,True
142,active,57.889853,57.406994,0.4828590000000048,0.5182360000000017,0.28562300000000107,idle,False
143,idle,61.643557,61.288965,0.3545920000000038,0.5182360000000017,0.28562300000000107,idle,True
144,active,73.306521,72.742523,0.563997999999998,0.485395000000004,0.21518600000000987,idle,False
145,idle,60.154483,59.696875,0.45760800000000046,0.5182360000000017,0.1636439999999979,idle,True
146,active,62.565838,60.524427,2.0414109999999965,0.5182360000000017,0.10188699999999073,active,True
147,idle,64.93201,64.090327,0.8416830000000033,0.5182360000000017,0.10188699999999073,active,False
148,active,74.400933,73.329336,1.071596999999997,0.563997999999998,0.1411509999999936,active,True
149,idle,61.063817,60.510752,0.5530650000000037,0.5718049999999977,0.14895799999999326,idle,True
